mc_id,principal,scope,ts
"mc10","962419b0-2ba9-46d2-8915-2601f7a156c9","/subscriptions/11635850-6fa9-4838-abb6-49352629e098","2026-08-05T20:42:13.7476814Z"
"mc10","962419b0-2ba9-46d2-8915-2601f7a156c9","/subscriptions/11635850-6fa9-4838-abb6-49352629e098","2026-08-05T20:42:13.7476814Z"
"mc10","610a003c-07d8-4dda-b7b8-0abae4c9b17c","/subscriptions/11635850-6fa9-4838-abb6-49352629e098","2026-08-05T20:42:13.7476814Z"
