vuln-08-no-cmk,3,kql,mc10,NOT_DETECTED,>150
vuln-09-nsg-open-inbound,3,kql,mc01,NOT_DETECTED,>150
vuln-09-nsg-open-inbound,3,kql,mc02,NOT_DETECTED,>150
vuln-09-nsg-open-inbound,3,kql,mc03,NOT_DETECTED,>150
vuln-09-nsg-open-inbound,3,kql,mc04,NOT_DETECTED,>150
vuln-09-nsg-open-inbound,3,kql,mc06,NOT_DETECTED,>150
vuln-09-nsg-open-inbound,3,kql,mc07,MANUAL_CHECK_REQUIRED,-
vuln-09-nsg-open-inbound,3,kql,mc08,NOT_DETECTED,>150
vuln-09-nsg-open-inbound,3,kql,mc09,2026-08-08T14:45:08Z,6
vuln-09-nsg-open-inbound,3,kql,mc10,NOT_DETECTED,>150
vuln-10-sp-nonexpiring-owner,3,kql,mc01,NOT_DETECTED,>150
vuln-10-sp-nonexpiring-owner,3,kql,mc02,NOT_DETECTED,>150
vuln-10-sp-nonexpiring-owner,3,kql,mc03,NOT_DETECTED,>150
vuln-10-sp-nonexpiring-owner,3,kql,mc04,NOT_DETECTED,>150
vuln-10-sp-nonexpiring-owner,3,kql,mc06,NOT_DETECTED,>150
vuln-10-sp-nonexpiring-owner,3,kql,mc07,MANUAL_CHECK_REQUIRED,-
vuln-10-sp-nonexpiring-owner,3,kql,mc08,NOT_DETECTED,>150
vuln-10-sp-nonexpiring-owner,3,kql,mc09,NOT_DETECTED,>150
vuln-10-sp-nonexpiring-owner,3,kql,mc10,2026-08-08T15:12:52Z,5
noisy-compliant,2,kql,mc01,NOT_DETECTED,>150
noisy-compliant,2,kql,mc02,NOT_DETECTED,>150
noisy-compliant,2,kql,mc03,NOT_DETECTED,>150
noisy-compliant,2,kql,mc04,NOT_DETECTED,>150
noisy-compliant,2,kql,mc06,NOT_DETECTED,>150
noisy-compliant,2,kql,mc07,MANUAL_CHECK_REQUIRED,-
noisy-compliant,2,kql,mc08,NOT_DETECTED,>150
noisy-compliant,2,kql,mc09,NOT_DETECTED,>150
noisy-compliant,2,kql,mc10,NOT_DETECTED,>150
mixed-seed-101,2,kql,mc01,NOT_DETECTED,>150
mixed-seed-101,2,kql,mc02,NOT_DETECTED,>150
mixed-seed-101,2,kql,mc03,NOT_DETECTED,>150
